date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,month,conversion_rate,cost_per_1000_impressions,revenue_per_click,profit,profit_margin,ai_priority_score,ai_recommendation
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,2024-01,0.07524846190250828,44.45746919146378,2.2732749645054424,2141.05,0.4457335695534233,0.5736388888888888,Monitor / test
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,2024-01,0.07873563218390804,45.422098991209964,12.28480459770115,57967.08,0.9039463761417245,0.8239444444444446,Scale budget
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,2024-06,0.04456685027541312,55.16395307269832,1.7508045401435486,5396.719999999999,0.5145089126109369,0.5278055555555556,Monitor / test
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,2024-01,0.04987363100252738,93.31649851702738,8.509700084245999,42670.87,0.8448828998752007,0.6849583333333333,Scale budget
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,2024-02,0.02383604366228559,94.36938359820057,0.750619291601693,-5294.24,-1.5712102281327067,0.23161111111111113,Reduce spend
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,2024-10,0.031767955801104975,15.163591078908636,7.211118784530387,4952.97,0.9486903473572311,0.6842499999999999,Scale budget
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,2024-08,0.04055496264674493,13.31191015796773,3.4254429028815365,11264.4,0.8773881182936404,0.6107499999999999,Monitor / test
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,2024-04,0.07496136012364761,36.75701266422062,18.604847372488408,92882.53,0.964525374125027,0.9304444444444444,Scale budget
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,2024-04,0.0672358591248666,17.868386179255957,17.642508004268944,15978.199999999999,0.9665580426627984,0.8060694444444443,Scale budget
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,2024-11,0.027624309392265192,50.07087334247828,2.670082872928177,528.5500000000001,0.546830545123478,0.34426388888888887,Monitor / test
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,2024-04,0.04103053435114504,49.91288773101034,7.356001908396947,18222.63,0.7879282768783346,0.46647222222222223,Monitor / test
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,2024-09,0.012765121759622938,50.55874016475301,2.4195149253731345,3561.9300000000003,0.2891137054115325,0.14048611111111112,Reduce spend
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,2024-05,0.07436856875584659,8.263054046907103,19.84760523854069,41215.52,0.9712811700379269,0.78,Scale budget
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,2024-02,0.07264103844233649,92.1773473452847,19.577728407388918,67692.3,0.8631097569527765,0.6761388888888888,Scale budget
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,2024-04,0.04358124111795358,38.06528599082496,6.584017053529133,12463.380000000001,0.8967195870740479,0.7137916666666666,Scale budget
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,2024-10,0.02752944515396623,81.13274281209807,5.210363275152547,28895.260000000002,0.7869630309092984,0.5157083333333333,Monitor / test
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,2024-08,0.022362773887508472,16.798391118627897,6.349324599051276,53118.02,0.9448760266482048,0.6514722222222222,Monitor / test
