TransactionID,Amount,CustomerID,Timestamp,MerchantID,FraudIndicator,TransactionAmount,AnomalyScore,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location,Month,DayOfWeek,Hour,ai_risk_score,ai_risk_level,ai_intervention
1,55.53,1952,2022-01-01 00:00:00,2701,0,79.41,0.6867,Other,Customer 1952,50,Address 1952,2869.69,2024-08-09,0,Merchant 2701,Location 2701,2022-01,Saturday,0,0.361,Medium Risk,Monitor
2,12.88,1027,2022-01-01 01:00:00,2070,0,12.05,0.0817,Online,Customer 1027,46,Address 1027,9527.95,2022-01-27,0,Merchant 2070,Location 2070,2022-01,Saturday,1,0.0404,Low Risk,No action
3,50.18,1955,2022-01-01 02:00:00,2238,0,33.31,0.0239,Travel,Customer 1955,34,Address 1955,9288.36,2024-08-12,0,Merchant 2238,Location 2238,2022-01,Saturday,2,0.0202,Low Risk,No action
4,41.63,1796,2022-01-01 03:00:00,2879,0,46.12,0.877,Travel,Customer 1796,33,Address 1796,5588.05,2024-03-06,0,Merchant 2879,Location 2879,2022-01,Saturday,3,0.4096,Medium Risk,Monitor
5,78.12,1946,2022-01-01 04:00:00,2966,0,54.05,0.0341,Other,Customer 1946,18,Address 1946,7324.79,2024-08-03,0,Merchant 2966,Location 2966,2022-01,Saturday,4,0.0493,Low Risk,No action
6,86.95,1204,2022-01-01 05:00:00,2757,0,34.55,0.1212,Food,Customer 1204,45,Address 1204,3152.25,2022-07-23,0,Merchant 2757,Location 2757,2022-01,Saturday,5,0.1316,Low Risk,No action
7,51.15,1311,2022-01-01 06:00:00,2096,0,55.38,0.1099,Food,Customer 1311,25,Address 1311,9253.48,2022-11-07,0,Merchant 2096,Location 2096,2022-01,Saturday,6,0.0559,Low Risk,No action
8,56.16,1693,2022-01-01 07:00:00,2493,0,17.86,0.7805,Travel,Customer 1693,27,Address 1693,8765.04,2023-11-24,0,Merchant 2493,Location 2493,2022-01,Saturday,7,0.329,Medium Risk,Monitor
9,37.18,1347,2022-01-01 08:00:00,2612,1,75.66,0.0105,Retail,Customer 1347,20,Address 1347,8935.01,2022-12-13,0,Merchant 2612,Location 2612,2022-01,Saturday,8,0.3183,Medium Risk,Monitor
10,17.25,1574,2022-01-01 09:00:00,2638,0,67.93,0.0294,Other,Customer 1574,55,Address 1574,5541.2,2023-07-28,0,Merchant 2638,Location 2638,2022-01,Saturday,9,0.0674,Low Risk,No action
11,86.18,1424,2022-01-01 10:00:00,2007,0,23.9,0.0835,Other,Customer 1424,37,Address 1424,4344.55,2023-02-28,0,Merchant 2007,Location 2007,2022-01,Saturday,10,0.1036,Low Risk,No action
12,95.55,1302,2022-01-01 11:00:00,2746,0,17.8,0.4517,Food,Customer 1302,54,Address 1302,2670.11,2022-10-29,0,Merchant 2746,Location 2746,2022-01,Saturday,11,0.2726,Low Risk,No action
13,47.14,1321,2022-01-01 12:00:00,2092,0,64.78,0.4448,Other,Customer 1321,47,Address 1321,2685.94,2022-11-17,0,Merchant 2092,Location 2092,2022-01,Saturday,12,0.268,Low Risk,No action
14,98.8,1700,2022-01-01 13:00:00,2892,0,43.69,0.9973,Travel,Customer 1700,22,Address 1700,6735.16,2023-12-01,0,Merchant 2892,Location 2892,2022-01,Saturday,13,0.4399,Medium Risk,Monitor
15,99.83,1321,2022-01-01 14:00:00,2849,0,35.45,0.8279,Other,Customer 1321,47,Address 1321,2685.94,2022-11-17,0,Merchant 2849,Location 2849,2022-01,Saturday,14,0.4188,Medium Risk,Monitor
16,20.74,1463,2022-01-01 15:00:00,2640,0,47.63,0.4559,Other,Customer 1463,46,Address 1463,1847.33,2023-04-08,0,Merchant 2640,Location 2640,2022-01,Saturday,15,0.2815,Low Risk,No action
17,44.55,1962,2022-01-01 16:00:00,2858,0,83.8,0.0786,Other,Customer 1962,39,Address 1962,7989.12,2024-08-19,0,Merchant 2858,Location 2858,2022-01,Saturday,16,0.06,Low Risk,No action
18,27.05,1854,2022-01-01 17:00:00,2479,0,67.02,0.5328,Travel,Customer 1854,57,Address 1854,9960.17,2024-05-03,0,Merchant 2479,Location 2479,2022-01,Saturday,17,0.2201,Low Risk,No action
19,13.62,1651,2022-01-01 18:00:00,2470,1,79.68,0.252,Food,Customer 1651,58,Address 1651,8326.15,2023-10-13,0,Merchant 2470,Location 2470,2022-01,Saturday,18,0.4206,Medium Risk,Monitor
20,20.8,1715,2022-01-01 19:00:00,2933,0,23.13,0.2792,Travel,Customer 1715,57,Address 1715,9103.49,2023-12-16,0,Merchant 2933,Location 2933,2022-01,Saturday,19,0.1238,Low Risk,No action
21,36.04,1724,2022-01-01 20:00:00,2835,0,60.71,0.6759,Travel,Customer 1724,32,Address 1724,8830.49,2023-12-25,0,Merchant 2835,Location 2835,2022-01,Saturday,20,0.2852,Low Risk,No action
