Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,spend_per_item,is_high_spender,is_active,discount_flag,recency_score,frequency_score,monetary_score,ai_personalization_score,ai_recommendation,ltv_proxy
258,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.58,1,1,0,Recent,Mid,Mid,0.5632,Nurture,664.17
442,Female,31,New York,Gold,1140.6,15,4.5,True,36,Satisfied,76.04,1,0,1,Dormant,High,High,0.6829,VIP — personalize heavily,1222.07
416,Male,27,Miami,Silver,710.4,13,4.1,True,61,Unsatisfied,54.65,0,0,1,Dormant,Mid,Mid,0.5015,Nurture,601.02
335,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.9,1,1,0,Recent,Mid,Mid,0.5869,Nurture,719.98
256,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
375,Female,36,Houston,Bronze,470.5,8,3.0,False,22,Neutral,58.81,0,1,0,Mid,Low,Low,0.158,Low priority,179.24
405,Female,37,Houston,Bronze,430.8,7,3.4,False,29,Neutral,61.54,0,1,0,Mid,Low,Low,0.1176,Low priority,162.75
328,Female,31,New York,Gold,1140.6,15,4.5,True,27,Satisfied,76.04,1,1,1,Mid,High,High,0.7009,VIP — personalize heavily,1222.07
379,Male,30,San Francisco,Gold,1450.5,19,4.6,False,12,Satisfied,76.34,1,1,0,Recent,High,High,0.7706,VIP — personalize heavily,2012.28
286,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
176,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.96,1,1,0,Recent,High,High,0.8719,VIP — personalize heavily,2433.83
225,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,0,0,1,Dormant,Mid,Mid,0.4539,Nurture,513.02
269,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.88,1,1,1,Mid,Mid,High,0.707,VIP — personalize heavily,1134.52
227,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.88,1,1,1,Mid,Mid,High,0.707,VIP — personalize heavily,1134.52
274,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
140,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.03,1,1,0,Recent,High,High,0.8073,VIP — personalize heavily,2225.52
398,Male,32,Miami,Silver,660.3,10,3.8,True,38,Unsatisfied,66.03,0,0,1,Dormant,Low,Low,0.3961,Nurture,398.28
178,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.81,0,1,0,Recent,Low,Low,0.1788,Low priority,179.24
157,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.92,0,0,1,Dormant,Low,Low,0.3069,Low priority,249.56
219,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,0,0,1,Dormant,Low,Mid,0.4131,Nurture,404.31
334,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.42,1,1,1,Mid,High,High,0.7765,VIP — personalize heavily,1360.91
146,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.96,1,1,0,Recent,High,High,0.8719,VIP — personalize heavily,2433.83
283,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3242,Low priority,264.92
